Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,Sex,Value
Sex,A. Socio-demographic Characteristics,A1. Distribution of Sex among FY13 Veteran VHA Patients,Sex (Overall),Overall,,Overall,Women,382546
Sex,A. Socio-demographic Characteristics,A3. Distribution of Sex among FY13 Veteran VHA Patients by Age FY13,Sex by Age Group,Age,,18-44,Women,162291
Sex,A. Socio-demographic Characteristics,A3. Distribution of Sex among FY13 Veteran VHA Patients by Age FY13,Sex by Age Group,Age,,45-64,Women,175303
Sex,A. Socio-demographic Characteristics,A3. Distribution of Sex among FY13 Veteran VHA Patients by Age FY13,Sex by Age Group,Age,,65+,Women,44742
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,,AI/AN,Women,3049
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,,Asian,Women,4130
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,,Black/African American,Women,103644
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,,NH/OPI,Women,3115
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,,White,Women,215779
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,,Hispanic,Women,23536
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,,Multi-race,Women,3905
Sex,A. Socio-demographic Characteristics,"A4. Distribution of Sex among FY13 Veteran VHA Patients by Race/Ethnicity, FY13",Sex by Race/Ethnicity,Race/Ethnicity,,Unknown,Women,25388
Sex,A. Socio-demographic Characteristics,"A5. Distribution of Sex among FY13 Veteran VHA Patients by Rural/Urban Status, FY13",Sex by Rural/Urban Status,Geography,,Highly Rural,Women,3694
Sex,A. Socio-demographic Characteristics,"A5. Distribution of Sex among FY13 Veteran VHA Patients by Rural/Urban Status, FY13",Sex by Rural/Urban Status,Geography,,Other Rural,Women,104319
Sex,A. Socio-demographic Characteristics,"A5. Distribution of Sex among FY13 Veteran VHA Patients by Rural/Urban Status, FY13",Sex by Rural/Urban Status,Geography,,Urban,Women,270892
Sex,A. Socio-demographic Characteristics,"A6. Distribution of Sex among FY13 Veteran VHA Patients by Service-Connected Status, FY13",Sex by Service-Connected Status,Service Connection,,No SC,Women,154601
